os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,22H2,Intel(R) PEG60 - 9A09 (PCI\VEN_8086&DEV_9A09&SUBSYS_00000000&REV_01\3&11583659&0&30),Fx Device,low,6,102.40044412665985,979
Win11,22H2,Intel(R) Wireless-AC 9260 160MHz (\_SB.PCI0.RP10.PXSX),Fx Device,moderate,14,136.07783333333333,45
Win11,21H2,Mobile Intel(R) Processor Family I/O PCI Express Root Port #4 - 9D13 (\_SB.PCI0.RP04),Fx Device,moderate,3,130.265921875,32
Win10,20H1,Intel(R) PCI Express Root Port #17 - A340 (\_SB.PCI0.RP17),Fx Device,high,2,1516.0271608247422,97
Win10,20H1,WP Location Client,Activator,low,14,47.509335416666666,288
Win10,20H1,Intel(R) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),Fx Device,moderate,4,242.10961935483869,62
Win11,21H2,Intel(R) Wireless-AC 9560 (\_SB.PC00.CNVW),Fx Device,high,21,3790.215857731959,97
Win11,22H2,controlador de áudio da tecnologia Intel(R) Smart Sound (\_SB.PC00.HDAS),Fx Device,low,45,92.26834407260353,5289
Win10,21H2,Killer(R) Wireless-AC 1550 Wireless Network Adapter (9260NGW) 160MHz (\_SB.PCI0.RP15.PXSX),Fx Device,moderate,2,33.81805,2
Win10,21H2,Realtek PCIE CardReader (\_SB.PC00.RP07.PXSX),Fx Device,low,9,13.122699423631122,347
Win10,22H2,Realtek PCIE CardReader (\_SB.PC00.RP03.PXSX),Fx Device,low,8,57.59901724137931,290
Win11,21H2,Controller audio della tecnologia Intel(R) Smart Sound (\_SB.PCI0.HDAS),Fx Device,moderate,10,198.74404725274724,91
Win10,21H1,Thunderbolt(TM) Controller - 9A1D (\_SB.PC00.TDM1),Fx Device,moderate,8,144.46061543624162,149
Win10,20H1,Intel(R) Ethernet Connection (6) I219-V (\_SB.PCI0.GLAN),Fx Device,low,3,19.97067175141243,177
Win10,22H2,Intel(R) 智慧型音效技術音訊控制器 (\_SB.PCI0.HDAS),Fx Device,high,26,1886.7369481446688,4258
Win10,22H2,Intel(R) PCI Express Root Port #7 - 34BE (\_SB.PCI0.RP07),Fx Device,low,22,39.80228843194483,3769
Win11,22H2,BUS da Tecnologia Intel® Smart Sound (\_SB.PC00.HDAS),Fx Device,high,14,3187.639596412556,223
Win10,22H2,Intel(R) Ethernet Connection (16) I219-LM (\_SB.PC00.GLAN),Fx Device,low,23,49.21744750929367,1345
Win10,22H2,Intel(R) PCI Express Root Port #10 - 51B1 (\_SB.PC00.RP10),Fx Device,low,5,28.9292524911032,562
Win11,22H2,USB xHCI ComplUserIdMaskt Host Controller (\_SB.PC00.XHCI),Fx Device,high,2,625.9243333333333,15
Win10,22H2,Intel(R) PCI Express Root Port #11 - 9DB2 (\_SB.PCI0.RP11),Fx Device,low,2,45.121545667125176,727
